,2016-11-17 00:00:00,2016-11-17 00:30:00,2016-11-17 01:00:00,2016-11-17 01:30:00,2016-11-17 02:00:00,2016-11-17 02:30:00,2016-11-17 03:00:00,2016-11-17 03:30:00,2016-11-17 04:00:00,2016-11-17 04:30:00,2016-11-17 05:00:00,2016-11-17 05:30:00,2016-11-17 06:00:00,2016-11-17 06:30:00,2016-11-17 07:00:00,2016-11-17 07:30:00,2016-11-17 08:00:00,2016-11-17 08:30:00,2016-11-17 09:00:00,2016-11-17 09:30:00,2016-11-17 10:00:00,2016-11-17 10:30:00,2016-11-17 11:00:00,2016-11-17 11:30:00,2016-11-17 12:00:00,2016-11-17 12:30:00,2016-11-17 13:00:00,2016-11-17 13:30:00,2016-11-17 14:00:00,2016-11-17 14:30:00,2016-11-17 15:00:00,2016-11-17 15:30:00,2016-11-17 16:00:00,2016-11-17 16:30:00,2016-11-17 17:00:00,2016-11-17 17:30:00,2016-11-17 18:00:00,2016-11-17 18:30:00,2016-11-17 19:00:00,2016-11-17 19:30:00,2016-11-17 20:00:00,2016-11-17 20:30:00,2016-11-17 21:00:00,2016-11-17 21:30:00,2016-11-17 22:00:00,2016-11-17 22:30:00,2016-11-17 23:00:00,2016-11-17 23:30:00,2016-11-18 00:00:00
86300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
135006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
185597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
352911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
376444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
811680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
856705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
880922,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
905391,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188983,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
1396310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
1507898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
1603133,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
1652912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
